,model,extension,location,working_hours,price,const_year
546,320,E,PL,6512,78000,2014
547,320,F,BE,3150,105000,2017
548,320,E,PL,9685,57240,2012
549,320,E,AT,13488,57000,2013
550,320,E,DE,5300,93000,2015
551,320,C,DE,10911,44500,2004
552,320,D,PL,13551,62000,2012
553,320,E,DE,8122,72900,2015
554,320,D,NL,15801,51900,2011
555,320,E,FR,3588,114000,2013
556,320,F,DE,7780,95000,2015
557,320,F,DE,2262,109900,2017
558,320,E,BE,7893,69500,2015
559,320,NG,DE,1730,110500,2017
560,320,E,AT,5021,76300,2015
561,320,E,PL,5300,79000,2015
562,320,E,NL,9740,69950,2013
563,320,F,BE,2190,119900,2017
564,320,E,BE,5100,87500,2014
565,320,E,PL,4050,119000,2016
566,320,D,PL,9500,44000,2008
567,320,E,FR,6840,80000,2015
568,320,C,NL,9036,55900,2005
569,320,D,NL,13466,51500,2010
570,320,E,DE,8150,69500,2012
571,320,E,DE,9364,67000,2014
572,320,E,DE,5692,79000,2015
573,320,E,DE,4602,89500,2015
574,320,E,NL,2701,115000,2015
575,320,D,NL,12499,42800,2006
576,320,D,NL,13272,45000,2008
577,320,E,LT,10137,65000,2012
578,320,D,RO,10000,59000,2011
579,320,C,NL,8445,59800,2004
580,320,E,NL,9390,71500,2013
581,320,E,LT,6000,60500,2016
582,320,F,NL,4957,86600,2017
583,320,D,RU,7285,67370,2007
584,320,D,RU,6626,84130,2013
585,320,D,RU,7260,75960,2012
586,320,D,RU,7633,69920,2008
587,320,D,RU,8655,72030,2008
588,320,D,RU,4904,92710,2012
589,320,D,RU,5760,58450,2010
590,320,D,RU,11318,59620,2009
591,320,D,RU,11027,62140,2006
592,320,E,BE,6761,69950,2015
593,320,D,RU,8903,53260,2007
594,320,C,RU,10448,52200,2002
595,320,D,NL,14530,42500,2009
596,320,E,LT,5000,72000,2016
597,320,D,NL,12596,42500,2008
598,320,E,NO,9448,93879,2015
599,320,E,NO,6000,96660,2015
600,320,C,NL,9765,35000,2004
601,320,D,LV,13000,50000,2008
602,320,E,FR,8500,85000,2014
603,320,D,NL,9876,45000,2008
604,320,C,NL,9624,42000,2006
605,320,E,FR,6345,85900,2015
606,320,D,NL,15200,45500,2007
607,320,D,NL,18200,42000,2008
608,320,NG,LT,3239,125000,2018
609,320,E,ES,8800,89000,2015
610,320,E,DE,4313,78950,2013
611,320,D,NL,16000,45000,2009
612,320,D3,NL,3577,86800,2019
613,320,E,RO,6400,68000,2012
614,320,D,FI,11500,63900,2011
615,320,F,PL,7107,85000,2017
616,320,D2,NL,2480,91800,2018
617,320,E,AT,10573,64900,2013
618,320,D,NL,10117,55000,2008
619,320,E,NL,10035,69500,2014
620,320,D,DE,6000,89500,2011
621,320,E,DE,2561,138500,2013
622,320,C,DE,10500,31900,2005
623,320,E,NL,7466,67800,2014
624,320,E,DE,5375,98900,2015
625,320,NG,DE,2656,140000,2018
626,320,E,NO,8700,77310,2014
627,320,D,TR,8680,50000,2012
628,320,E,BE,8900,69000,2012
629,320,E,EE,7350,76000,2013
630,320,E,LT,3000,75000,2015
631,320,D,TR,16000,47900,2008
632,320,E,BE,4700,108900,2016
633,320,E,BE,5700,87500,2014
634,320,F,BE,4250,116900,2017
635,320,F,BE,3200,119900,2017
636,320,E,BE,10407,57000,2013
637,320,F,BE,3580,119000,2016
638,320,F,EE,6136,90000,2017
639,320,NG,PL,1534,144000,2019
640,320,NG,PL,1791,141000,2018
641,320,F,FR,2218,145000,2017
642,320,F,FR,3531,137000,2017
643,320,E,PL,3089,99000,2014
644,320,D3,NL,3929,84900,2018
645,320,D2,NL,2322,89900,2018
646,320,D,NL,11254,45000,2009
647,320,E,NL,10048,66900,2015
648,320,E,LT,4500,58500,2015
649,320,D,NL,12257,50800,2012
650,320,D,LV,15161,35000,2007
651,320,C,NL,8256,47500,2005
652,320,D,FI,16000,59500,2007
653,320,E,NL,6786,85000,2015
654,320,D,NL,7983,49500,2012
655,320,E,PL,6600,69240,2014
656,320,E,PL,8500,66930,2012
657,320,C,NL,11212,39800,2003
658,320,E,PL,4218,94510,2016
659,320,E,DE,5615,120000,2014
660,320,E,DE,7460,91300,2014
661,320,NG,NL,36,121800,2021
662,320,D3,NL,5,102500,2022
663,320,D2,NL,6,125000,2016
664,320,D,NL,4,99800,2021
